eligibility_datetime_utc,item_id,eligibility,message
2025-06-04 8:50:07,29,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,270,TRUE,
2025-06-04 8:50:07,31,TRUE,
2025-06-04 8:50:07,26,TRUE,
2025-06-04 8:50:07,25,TRUE,
2025-06-04 8:50:07,34,TRUE,
2025-06-04 8:50:07,28,TRUE,
2025-06-04 8:50:07,32,TRUE,
2025-06-04 8:50:07,33,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,27,TRUE,
2025-06-04 8:50:07,23,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,24,TRUE,
2025-06-04 8:50:07,35,TRUE,
2025-06-04 8:50:07,30,TRUE,
2025-06-04 8:50:07,36,TRUE,
2025-06-04 8:50:07,19,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,15,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,16,TRUE,
2025-06-04 8:50:07,18,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,17,TRUE,
2025-06-04 8:50:07,21,TRUE,
2025-06-04 8:50:07,20,TRUE,
2025-06-04 8:50:07,22,TRUE,
2025-06-04 8:50:07,13,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,38,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,5,TRUE,
2025-06-04 8:50:07,7,TRUE,
2025-06-04 8:50:07,42,TRUE,
2025-06-04 8:50:07,14,TRUE,
2025-06-04 8:50:07,10,TRUE,
2025-06-04 8:50:07,6,TRUE,
2025-06-04 8:50:07,271,TRUE,
2025-06-04 8:50:07,4,TRUE,
2025-06-04 8:50:07,40,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,8,TRUE,
2025-06-04 8:50:07,39,TRUE,
2025-06-04 8:50:07,9,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,3,TRUE,
2025-06-04 8:50:07,43,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,11,TRUE,
2025-06-04 8:50:07,2,TRUE,
2025-06-04 8:50:07,41,TRUE,
2025-06-04 8:50:07,44,TRUE,
2025-06-04 8:50:07,1,TRUE,
2025-06-04 8:50:07,12,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 8:50:07,0,TRUE,
2025-06-04 8:50:07,37,TRUE,
2025-06-04 8:50:07,49,TRUE,
2025-06-04 8:50:07,52,TRUE,
2025-06-04 8:50:07,50,TRUE,
2025-06-04 8:50:07,46,TRUE,
2025-06-04 8:50:07,48,TRUE,
2025-06-04 8:50:07,45,TRUE,
2025-06-04 8:50:07,47,TRUE,
2025-06-04 8:50:07,51,TRUE,
2025-06-04 8:50:07,272,TRUE,
2025-06-04 8:50:07,273,TRUE,
